id,tweet_id,text,screen_name,author_id
33,1512176799735848965,"RT @WTOV9: Local arrest involving fentanyl illustrates danger of drug in area, official says
#LiveOnNews9
FULL STORY: https://t.co/ie5suulB…",RichWTOV9,3313689808
34,1512176749613924352,"RT @lonestarherd: 🆕CNS News : DEA Administrator Anne Milgram warns they are seeing a '"nationwide spike in fentanyl-related, mass-overdose e…",lonestarherd,1443612874161721346
252,1512170601733050378,@stlgirlinlex https://t.co/5tn4rQp0t6,Vikes_Dawgs,2869126728
35,1512176639043678209,"Politicians in California obsessed over COVID for two years, all while ignoring the dark reality of California''s fentanyl problem. 

More people died from fentanyl in San Francisco than COVID. 

Tragic.",CARebelBase,1405584652459409410
36,1512176620299333632,"RT @RockefellerInst: Syringe exchange programs, fentanyl-detecting test strips, and naloxone administration are harm reduction strategies t…",TiradoComms,1224418382109466626
37,1512176568105381889,"@rachbarnhart Fentanyl killed 100,000 young adults in America, take the bus to the Southern Border.",Rip_Murdock,3304838872
38,1512176536719396865,antony me obedeceu ou eu tô ficando doida,oxy_toci,1357369488023425024
39,1512176444574777345,"Syringe exchange programs, fentanyl-detecting test strips, and naloxone administration are harm reduction strategies that save lives. Further, harm reduction programs can connect people who use drugs with treatment and other wrap-around services.

https://t.co/KmluONyuD7",RockefellerInst,30233238
40,1512176382033465349,(9~9)The point is the Vikings would have beaten the Two teams they would have played in the Super Bowl if they’d had a great QB.  70 &amp; 71 were the Vikings time to win Back to Back SB’s. Franchise QB is a Must. It’s been proven True. Vikes must get one.,gabbijack,1250379128
41,1512176349808668673,RT @BenzoBobbyTV: Tryna take another Oxy/Oxycodone 5mg asap fam! https://t.co/FR1bZiwrl8,BenzoBobbyTV,1494139263859965954
42,1512176346797068303,Also Psaki: No need for Title 42 because it’s not like Border Patrol is overwhelmed with thousands of migrants every day as deadly fentanyl pours across the southern border killing Americans across the country https://t.co/S68aJm9EK5,ChadGilmartinCA,938758536938557440
43,1512176344477667328,"RT @geraldposner: What is the definition of ‘conflict of interest’? Thanks to senators who requested an overdue probe of McKinsey, which ad…",HalisiEmmy,1317673078915289089
44,1512176341692694535,RT @xxsophiexxo: @merakidemoreau They're lacing fentanyl in it in the streets so the only place I'm going is to a dispensary...i see your p…,KhayItsJustKhay,124845315
45,1512176183139467293,"RT @FOX5Vegas: Authorities say it resulted in the biggest bust in the last 16 years in Orange County.
https://t.co/wpQNFgn2Ny",liliuokalanic,17223140
46,1512176182946676741,@rabbitgutz @Oxy_Cheshire https://t.co/D6kRuXxtY0,TheOctaviusLee,1494973790777970688
47,1512176137966813199,"2 arrested with enough fentanyl to kill 4.7 million people, police say | https://t.co/172egDukKH #California #Fentanyl    https://t.co/SsO5s2udD9",JDAMonarch9,256698118
48,1512176081419255814,RT @bobnewheart11: Do you know someone who died do to Fentanyl? That’s what an open southern boarder causes. We all should thank the Biden…,KettleCorn1234,828270601932521473
49,1512176005313712129,US warns of 'mass overdoses' from fentanyl-spiked drugs https://t.co/FLFn8QasGG,Par4thecourseC,1445127199401590797
50,1512175981120921600,"@xStep47 wtf is MDMA, DMT, K2, Fentanyl, Ketamine, Hydrocodone, DXM, PCP, Oxycodone, Methadone, Ritalin, Benzos, Kratom https://t.co/uaPltBm3id",Rediah_1,1367155456532238340
51,1512175980583944200,"@cxymoron @pixelplateau Is okay Oxy, as Pixel, we support you in all your wrong decisions 😔/j",AltainArian,2978986696
52,1512175971230646281,"Orange County Bust Finds ‘Enough Fentanyl to Kill 4.7 Million People’ 

https://t.co/KPHiOfykCx via @LAMag",hey_leia,25746381
53,1512175944181682185,1 fentanyl particle = 1 death https://t.co/DwOI0Z1xlT,dialecticsandme,719861511452246016
54,1512175905816604673,アカウント移行しましたGj_OXY　99116,Darling_my_LUV,2277243738
55,1512175901546631170,@impactadissima Todos os hydros são ricos ou da nobreza e tem a Mona kkk,koningin_s2,941050187186868225
56,1512175884161089553,"Buena Park police officers recovered 20.5 pounds of fentanyl pills from inside a minivan, authorities said, '"enough to kill 4.7 million people.'"

https://t.co/YYCE845YfP",latimes,16664681
57,1512175879937425418,"Major drug bust, California. Police said they found about 821 pounds of methamphetamine, 190 pounds of cocaine and 21lbs of fentanyl…enough to kill 4 million people. 
Edgar Alfonso Lamas, 36, and Carlos Raygozaparedes, 53. Its going to be a long, hot, deadly summer.",RedFridge,25700898
58,1512175763520376840,"RT @shuqilleoatmeal: Good Lord have mercy the unicorn riding , pixie dust farting neer do well Bluewaves that havent a clue about Texas wil…",JesseAld,2234002109
59,1512175748156645377,$OXY nice rising wedge. Anything above 60 is 73 https://t.co/nJxmcgwHjE,spicy_trade,1458598530931699716
60,1512175663385509908,"@i_miss_the_days what''s been working for me, I had to leave oxy behind a few years ago- the herb kratom got me off it and took care of pain w/o withdrawals. I use brand w/elephant on bottle. L-dopa and vitB1 supps helped too. If you''re interested in talking more or finding more options, dm me!",letmelurkinpeas,895338294300430338
61,1512175651826118661,"RT @FoxNews: DEA warns of ''nationwide spike'' in fentanyl-related mass-overdose deaths, as border crisis rages https://t.co/gouVr8ZJFG",DLCane1,1086049486575714307
62,1512175628182822920,"RT @CDCInjury: A new #CDC study supports evidence that most fentanyl-related #overdose deaths involve illegally made #fentanyl. 

Read @CDC…",DaPerl,21674522
63,1512175565943549953,Do you know someone who died do to Fentanyl? That’s what an open southern boarder causes. We all should thank the Biden administration for killing our loved ones. They are directly to blame.,bobnewheart11,1350802719389450245
64,1512175557068341261,RT @ilovetag: Our billboards right across from Hamilton High.Moms Against Drugs is doing what the California Department of Health should be…,onepillkills,1454252610689589248
65,1512175544296779781,@xxsophiexxo @merakidemoreau This is a myth. Also fentanyl and weed burn differently so even if dealers are doing it it’s wasteful for a number of reasons. Lastly if fent and weed are in a toxicology report is likely from another substance bring contaminated not the weed.,queerbabyk,37719075
66,1512175531269128212,RT @MrGordo26526781: Two California men arrested with enough fentanyl to kill 4.7 million https://t.co/MFqS2ufpUc,GRhozzy,1383964311844888578
67,1512175507034546188,@anndreezy I take my Oscar fish’s hydros cuz they fight too much,Rafiki_626,1365850744507760645
68,1512175395348619266,RT @RepGregMurphy: Biden's own DEA is bracing for a massive spike in fentanyl-related overdoses as a result of the #BidenBorderCrisis. An a…,YoDaddy09519437,1478313620043878400
69,1512175390453862402,RT @shaezilla: I really wanted to impress @justinxMIW before we went to bed so I recited all of Oxy Cotton by Lil Wyte and idk I think he m…,SallynJack96,318710430
70,1512175354751987719,"Mother of 13-year-old boy who died of fentanyl overdose raises alarm about fake pills sold on social media

Via The Independent : Thu, 07 Apr 2022, 20:55:26 GMT

https://t.co/hRAPu30Z26",auto_news_feed,1417125620732080128
71,1512175246601863177,"@grapejellyhater @DoomGrows @DeezInSeven @blxckshxwn @DJCHICHON1 @merakidemoreau @xxsophiexxo …..they’re not denying that people have died from fentanyl-laced weed, they’re saying that it doesn’t happen as often as people think, which is true. i’m more concerned with the fact that it even happens at all.",angeIsvice,911424811938828288
72,1512175209423544329,@mridenhour Union Co has like 2 fentanyl busts a month. I’m interested in how many other criminals are on or in search of it during their apprehensions. Crazy times!,alissa_batts,50195033
73,1512175196978905108,"@bennyjohnson Biden''s open border: Importing criminals to your neighborhood. (It doesn''t matter what town or city u live) Killing 100,000 US citizens will smuggled Fentanyl. https://t.co/hUrfGfcNRd",McbidenB,1466606609782632451
74,1512175172106682373,RT @sjs856: @merakidemoreau Street weed be havin fentanyl in it. You playin witcha life,chrisfromaightv,1437653608841969666
75,1512175083183382538,Tryna take another Oxy/Oxycodone 5mg asap fam! https://t.co/FR1bZiwrl8,BenzoBobbyTV,1494139263859965954
76,1512175070571073547,@johnble21982040 @BBonMars @BetoORourke Those certainly seems like problems. What's Greg Abbott doing about those fentanyl shipments?,SensiblePoliti9,1320211854405390336
77,1512175057119981575,"RT @TacticalDogLive: K9 Bruce uncovers suspected fentanyl-laced pills during traffic stop
👊Bruce again, California Highway patrol. 26 pound…",hexyr,490916950
78,1512174999431692288,On Buffett's purchase of $OXY https://t.co/LaKbEz2Gui,bmwravi,229062776
79,1512174950769205252,RT @KeefSweats64: @Jscales_23 Shiiiddd you could walk into a chs bathroom and see somebody busting down a oxy or a perc on the sink back in…,IPowell1091,61094692
